addr,entity,amount,is_online,is_eligible,is_cex
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,Upbit,692924673.611938,False,False,1.0
MTCEM5YJJSYGW2RCXYXGE4SXLSPUUEJKQAWG2GUX6CNN72KQ3XPJCM6NOI,Binance,543795982.526004,False,False,1.0
2ZHDNJEHQ7NIDKRML7IWSYJXGCN6WUURKT5LGTLF7I5ABFCM2KE4NL3XT4,Algorand Foundation Treasury,300000001.898355,False,False,0.0
6OZQ3ENWXS4JFMIUKMKHPTQPWJVSN6VGBMSBR2E3BY3S5CPF2JPLGUXAJQ,Algorand Foundation Treasury,300000000.847468,False,False,0.0
PCX64JROWO3II44O7764Z2PNDSJO46GNHUGS6K3372NSTDCVWABS7CRL4Y,,129513363.381894,False,False,
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,Kraken,122229378.985764,False,False,1.0
J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,Coinbase,109661255.658166,False,False,1.0
5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,Coinbase,109609622.951217,False,False,1.0
ZDEFFZZ4NAWFP525TOGNWICWOXKOF74DFMYCE6BMMZIZVX5NNPYKN4SRRA,Coinbase,104652929.135987,False,False,1.0
2R5FTTVDIAQ55I5SPW5BE6R2SVYY45O5W64XGIVBLHQYWMZARRXTO4VIHQ,,101833391.900373,False,False,
LLYQZEQUBVTB3HOD2GLWQ2CRQ457DA57EICFV5O6I7CF6UC66SYHLEJQQ4,BitThumb,101218261.888674,False,False,1.0
LYKPESAJWNRAV7XADUHBKLADBK47HWKIM4W3K7ICKXXEURMP2AJLYLFDF4,Coinbase,100880249.974259,False,False,1.0
UPBR75UVEX4UVBKLLXDEVF5OI6SN426G7IEEZFM2QYMXQHPHTX5FZUT2MA,,92952203.289236,False,False,
EO35Y2JBCZCFEI44Z2FOBH45QPSZ3PFK4HREHKX54N4HGSIQWLBNEPZMYQ,,82094097.91937,False,False,
5EHOMUZGUALFLKWXSMWHW5MAEVNREQNU7W43KSAE2K4F6FLSX36ZTBICUI,,82060529.838696,False,False,
5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,ByBit,77667875.859187,False,False,1.0
OEXAVV5G6JCPP5YORI7VOVIIIV5MGSYLXAXA7WVKPOGHRVP5YBTTX6M6FE,,76685385.980628,False,False,
VGBITAJ24HWXCTO64HOKXDPRBTZG63M246TCMGNLKVJNOLM77ZBK3XHCCQ,,74184491.342982,False,False,
UKZM663BYLUTDYHF725KCWEOQM4YZ2BN3LCTE5LT4W3TC2H6DAUUMNZNJA,Bitvavo,73950898.998455,False,False,1.0
WZY5ZGJ57YOVJ2TCMFXIH6TNLDC2FI2UJSWGG4XN5RK4XVQX4MMOIZD2AU,Coinbase,72613587.354003,False,False,1.0
XMVGCC27ZCGWKOQYZDE5WESGYS4V7CRTQVIAZETJNNV7U3QTHJ6CUZ62PQ,,71848298.481979,False,False,
BX7UST4VVWQQPPAVPMPFW76QRKXRLQ3UVYABWBTHOAX2AN5Q5OGW2X55AQ,,64795474.625963,False,False,
KQ6FVR6PTHMV7QV47LBSR3LVM3EWSNHJPTWQ7GUEFLI2NGKC3RAULQ27K4,Coinbase,63967582.112551,False,False,1.0
DLRY7TLD3KXB4G6IAIW5KGUZEVIDBS2OZ3LR7RFSJD2KEUDKWFXEBPK3HU,Coinbase,63800404.926975,False,False,1.0
WD5EDLJCLRWFIBEUCT43J6QM3LGVNSYXUSMWGUKKUMJBZ65IKQWIAV2LIY,Coinbase,62953111.819577,False,False,1.0
ROVA2AHXIEUFK63ULPXQJOMAGDRG2C4EZMGD63QHMGJTMTBLHTG5RPZUTM,Algorand Foundation Treasury,61517577.284858,False,False,0.0
UPMCPJCCN6JIKFOIZ7JEKRHMWPTFTDJM7L7GBIJINAWJBBURPXCACRL6MI,,61001994.374382,False,False,
U5P6Q4YYAEZPRUJZNKGOIICBO7CYZVD5EDRMGE35G2D35IULQYWGWN3GCU,,60834191.926688,True,True,
KQASEQS4EMTXPFBDARF2NDJVDJ2R5TQLKZF25RYIUY5YCHPK7FKA2PG7U4,,60610421.424557,True,True,
FFLRE4VZK35KAU65VLBRMR4KZVHE4S2TEXJJ6K4POZJZXUND3V2V6DVJNU,Coinbase,58678167.340878,False,False,1.0
HMKN4BCGCDUFWIPOIKDBUTC6RXFKOKOB6TWO25ETRHTKJFTJZPD6Y3BOLQ,UpHold,57586795.621474,False,False,1.0
2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4,Folks Finance,56474743.80929,False,False,0.0
KHGLFYRM52BT6R5CSREB7BNUOSR3FUEHCWLIXKWM44SD2RZMSXDPZS77U4,,55763068.903409,False,False,
3SORALOCWWTHAAGEZIOB5MIV2G3KAWUN2LQI4ZBWPLEDZANPIVTHFHDGZ4,,55345929.191099,False,False,
V6F7XZUE6G4ODLE47CY32PLDLEC6LELBE7JWQX6RMBJBPFMZ5UOM3WXMWM,,53346633.300958,False,False,
LSAH7NBFXSUP2RSNS4UDA6KA3THYIS5CAWVE7IG4N45FAEGQOXYCXSL4TI,CoinSpot,50836367.411053,False,False,1.0
A3MYPLCU5ZVXDJEAXAVV2SAUWJ4INWGPYOKM3FWOGUASOJ7V2L6DTC5YN4,Coinbase,49918716.642197,False,False,1.0
5EYP2467BNWUIE773T57P3VZ5RRMWUFCPSYOOUHVFP4AY5HSZ7MKECKTKI,Coinbase,49846161.208902,False,False,1.0
R7ALVPEQRGECJK33LANXMPENWYALTAZQTSGNCTEQPKBSBDI5KO252SAK64,Coinbase,49553697.814032,False,False,1.0
P73D4BTS5B55FBV5Q4K2JZNTJOOMACZY4TFYKLCHPCOGLUPGDBXDBVSS7E,Coinbase,49534257.811913,False,False,1.0
ILZP3VLXPZOMULC5XMR5UUL5LMBGXX6TT6IURYFZ7Q6KX54INCUISZH2JQ,,49450303.216906,False,False,
HRLD25IMT2Q4UPYOEUZIWHDI3ELCUIC5NLNC75O2NE7OLDJK7GZXDIK5QQ,Algorand Foundation Treasury,44000000.000272,False,False,0.0
L5BLJ4FNK6FNM7V5NUVT5QI6NQAERLLHYT24XH6RS2DUC4WDHPM5LOLGBY,Algorand Foundation Treasury,43999999.996729,True,False,0.0
62UUOSMOMD6XOSRROCIIMVVF2VX6N4CMVLCUFUVWV4Q4T4BHD7ETFNWMOI,Algorand Foundation Treasury,43999999.994129,False,False,0.0
LHVWNRKGGOTSSDYK4P4WKXTHZI5SAFKUO5ALAW7NJ6G76RG4UXLBCWN5LQ,Algorand Foundation Treasury,43999999.993729,True,False,0.0
GJGK42UVZK4IDKN5MGP53A6FJEHRI52PI4E3BBJZRZCQZ666BKYILYXI2E,Algorand Foundation Treasury,43999999.993591,True,False,0.0
A66JRYUOU523Z4MU53AJL3YAEHESH3KMVV7OJI4SMFRVIDNNVDK2LHSL4Y,Algorand Foundation Treasury,43999999.993034,False,False,0.0
MKZIWVBDBZV7UK6XQY3DFLYSBLSJWCDHDJWK3JAHWCFMNJOH4ZXQSMOUCE,Algorand Foundation Treasury,43999999.991699,True,False,0.0
IHYR5OZGAIRSCDCNQJVFOPAOJT2SPG3YXAE3GGJPZRI6JV2GQSJAYG5NUY,Algorand Foundation Treasury,43999999.987955,False,False,0.0
EU6CHYSH7ZXLJQAPPIN6W3KS7VAURYZCB5P3ZCXMYCWNJF6V5RTVL2UPHU,Algorand Foundation Treasury,43700000.193162,True,False,0.0
TBN2J7U3J5D4I7R2EK7XIBFNTEGVLHNORAXQ6YBJY5IVNY5IIKOXSJRYCE,Algorand Foundation Treasury,43649999.996546,True,False,0.0
ASHPGJPHCZMSVBBUVFOVTSIYFKCR26STPOVPU4GWACKTZT35ZQYBSE775U,Coinbase,43479528.884157,False,False,1.0
4H5UNRBJ2Q6JENAXQ6HNTGKLKINP4J4VTQBEPK5F3I6RDICMZBPGNH6KD4,Algorand Foundation Treasury,42999999.997203,True,False,0.0
7GPQ36Y43EF77SDEMPMGCFIWBT3CRP3U6VMT7SK42X42ZUOXVS7TD3KXAA,,42660116.878871,False,False,
NRDDQ7MFRTUTMDAP4CBXDQ2IVP5VSLKDASADLLANYLFIKR7NQOGOUINYM4,Algorand Foundation Treasury,42349999.99683,True,False,0.0
VEJGTLTKNT3VGLG2GVB2LMXC55WYW6J6WPZ76XTY2Y46TRJQOORWERYXYE,Algorand Foundation Treasury,41999999.995842,True,False,0.0
6ILY5SVFOVZSE7AXNYQZFX6FQTGMJB75ZW5EWCIBCSILQUX42C6BBUWHTI,,41525283.59044,False,False,
XBYLS2E6YI6XXL5BWCAMOA4GTWHXWENZMX5UHXMRNWWUQ7BXCY5WC5TEPA,Algorand Foundation Treasury,41400000.003916,True,False,0.0
OTW6HXVSWXDRBV2F7RK5YHYBERVYUYQ4KSVRW5K4ECBONAJBSFHHDSP764,,40734771.265488,False,False,
SXNDBVZXTLF6JJVER3VZV5XMGV6SGDNANHATZZIKHWVF5RV2JVPQ7NB56E,,40734771.265336,False,False,
KK6UJVR57FULTMBR6NQTWJR5D4U7WY6HZYR2O272NDZMZERPS42TQQNZBI,,40008007.09488,False,False,
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,Binance,37661331.717598,False,False,1.0
QWKLUAQ37BGQS4G6GTGIWPMIIOS4HHUELF5ZXWP2YNTELCTHJXUMTLVDMA,Crypto.com,33528585.783005,False,False,1.0
JHCVUBWAJHEMNPBZDNYVXK6DNRFUJWNLWXDDLLBOLIL3KFCQAOI3XVMWOA,Algorand Technologies: 287,33308911.669626,True,True,0.0
PZ7TILKNWVGJTAWF7YSBYDHT44SN6NQJXHI55ODGJXGXHGB64BH6MBDGFY,Algorand Technologies: 288,33274634.890619,True,True,0.0
EG6JXQ3TQBWRSTR3OEDUS5RTPLMA4KTMJIV3N6DO7XN2XRKIFEN64DY3BU,Algorand Foundation Treasury,33259999.989677,True,False,0.0
UTFJWM5YP6TSR66YHRYBNDZLCYTTSMLDBKKFTEE723HT7GJBGNCWD6UDC4,,32490460.23561,False,False,
SJYNEQ36GVJBQ3YRZTVQGMFQDHRZKK3SGXF224WKNP7S3NAU563RNPUMWA,,32389044.624531,False,False,
WDWBXGJIXO3N6A7AZ25XU4UX5Q3FJJ5CCKFCUEUWE75ZF5I6H47X37EY6M,Algorand Foundation Treasury,32050280.920132,True,False,0.0
DEK6IBQKSX5JPKUSIDCLRUEXTAJLSEM5EFZWXDDYYVPKBH3JOS4NPT477U,Algorand Technologies: 289,31147107.445655,True,True,0.0
O4WKNVA25QYYMN3NW534CWE65PPIMU56TNB5ZJIKGOQHBXEFU6QACUJWOQ,,30692845.167124,False,False,
P2W7L5OERZ53KV4LJOCV3HR75ZPA6BDLHCAL27IQSIE2WDFGRFEGL524VA,,30692845.166672,False,False,
A6B5AKODYAMHTQ7B4PJAMOLDLZFMAB4QOXJJP6I3FC7YIPOPD6PL7ZYRCA,,30409370.260673,False,False,
PRNU5BPKXY5G322XPP7D7R7NH7MFFUUO44522T3P5OT64DB56JJ5ZQJ4LA,,30390934.95998,False,False,
I63NBAY2FYICKXSF7XFJRUV3CQDB756EDQ245D47Z34LTEFP7JYXS56QTM,,30221484.609608,False,False,
FRWQZO4A6NZKANEYYWAHZIBHJ46T2LVRFACCLHUY3JQAJLUIWNQQLOQ26A,Algorand Burn,29525119.542542,False,False,0.0
ALMEZURUOG7R2QKPZIPNQAFANRQEZU4J22ZJYW6HARU4IZCZGEHNTZMO6U,,28967355.327325,False,False,
Y5IHKEQSYPCI3XMPB2JFSKHQL64CLKMRXZA3TQVUKNDJVCGW6EY5WI7L7E,,28620223.062707,False,False,
C2QRHHR3K7KSLNQV4BJCD6UVM5OJSSXTV2YQR6DOYVL3X7ZGC2BBZRFKEE,,28045857.001764,False,False,
W425PRGCPQFAKWSN7D2QKGKBHUWEVV4Z5PWLKUTIGYULGEU5ZDXOAKETC4,,26224713.257438,True,False,
EYNLSXSZFXDQBBJ7AQX35SVU6YSMINGLFZTOUOK7EYZIWG7AICHFVW5QPI,,25338277.104495,True,True,
3YIIMZRD4UVBXWQKCROQW5KRWGS6KPK6F6C2B6GYGANPMBLGJ5HYOQVP4E,,25338276.916494,True,True,
F4M4ECEE6RIZB2QDM6CM46MMK5KD2F3FTVANKXZMH5TDBIEXAG2FOAK3II,,25338276.908495,True,True,
H4PFJ2T5FSYKIQYJ6YZG5XE7B4X2TKHUDZRBDJXNEHCUMAGTKYLW5Y6XHQ,,25338267.096495,True,True,
VVU2LEKHHCF2PACOOIMSH6WY6AM5XMFWZRGWVHR65CILVVS6F4PHNIH35Y,,25338267.096495,True,True,
4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,,25338267.096495,True,True,
7IISQ474IZKGPO66HGBWUBHAJR4FLYLR52NNMPVN6NA2YQOGYDKJNK36RU,,25316199.139183,True,True,
7USALIOQHU2BUCTYP3ZZMUO634H6OWPERHZQQO6FVC7P5CYDWRXEW5VWZU,,25313503.785183,True,True,
H7CDKBNTC4OVBFZXFYG5CEZJXA4VDRJGHT26MXOJVBGPI7MMO7VSE4RZHA,,25312094.760475,True,True,
32ITT53SHUL5UFMS6AGYGWXX2YIDD5UAV7ZRWVOTJPDFSVDCFH5XTFGTOQ,BitPanda,25152656.837034,False,False,1.0
OFB2SMWDDB3V4RYRSC6EXJYB2RYFVPWGYYEGAOLK52TN72G2DELKVENV44,,24669054.73644,True,False,
2JGGWKOIKYZB4HLG2X5DWHD5EWCUOQR7DC6VOEMWELIVNVVAF3BEUWJR7Y,Algorand Foundation Treasury,23999999.995703,False,False,0.0
O4N25TS4Z5SC34VZ6R6RU74PCEIUTJFSDSKETNDYU4CXI3C2BFYXCYEKAU,Algorand Foundation Treasury,23999999.991612,False,False,0.0
YCPZ6INCKVD24CUIJYHWU2JZRPXEX3UXV37I6XHG4WEN7ZZ7LAKY6XLPPA,,23941973.702287,False,False,
